PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Yang, YH; Weng, BS; Bi, WX; Xu, T; Yan, DM; Ma, J				Yang, Yuheng; Weng, Baisha; Bi, Wuxia; Xu, Ting; Yan, Dengming; Ma, Jun			Climate Change Impacts on Drought-Flood Abrupt Alternation and Water Quality in the Hetao Area, China	WATER																Xu, Ting/J-4588-2018	Xu, Ting/0000-0003-2181-5367; Bi, Wuxia/0000-0003-0058-6286													2073-4441				APR	2019	11	4							652	10.3390/w11040652							WOS:000473105700022						
J	Donmez, C; Berberoglu, S; Cilek, A; Krause, P				Donmez, Cenk; Berberoglu, Suha; Cilek, Ahmet; Krause, Peter			Basin-wide hydrological system assessment under climate change scenarios through conceptual modelling	INTERNATIONAL JOURNAL OF DIGITAL EARTH																Cilek, Ahmet/E-6191-2018	Cilek, Ahmet/0000-0002-6781-2658; Donmez, Cenk/0000-0002-7788-3839												1753-8947	1753-8955				AUG 2	2020	13	8					915	938		10.1080/17538947.2019.1597188		MAR 2019					WOS:000464390000001						
J	Dong, NP; Yang, MX; Meng, XY; Liu, X; Wang, ZK; Wang, H; Yang, CG				Dong, Ningpeng; Yang, Mingxiang; Meng, Xianyong; Liu, Xuan; Wang, Zhaokai; Wang, Hao; Yang, Chuanguo			CMADS-Driven Simulation and Analysis of Reservoir Impacts on the Streamflow with a Simple Statistical Approach	WATER																	Meng, Xianyong/0000-0003-4182-5028; Dong, Ningpeng/0000-0002-5226-6180												2073-4441					JAN	2019	11	1							178	10.3390/w11010178							WOS:000459735100176						
J	Wang, Q; Liu, YY; Tong, LJ; Zhou, WH; Li, XY; Li, JL				Wang, Qian; Liu, Yangyang; Tong, Linjing; Zhou, Weihong; Li, Xiaoyu; Li, Jianlong			Rescaled Statistics and Wavelet Analysis on Agricultural Drought Disaster Periodic Fluctuations in China from 1950 to 2016	SUSTAINABILITY																														2071-1050				SEP	2018	10	9							3257	10.3390/su10093257							WOS:000446770200300						
J	Huang, JL; Zhai, JQ; Jiang, T; Wang, YJ; Li, XC; Wang, R; Xiong, M; Su, BD; Fischer, T				Huang, Jinlong; Zhai, Jianqing; Jiang, Tong; Wang, Yanjun; Li, Xiucang; Wang, Run; Xiong, Ming; Su, Buda; Fischer, Thomas			Analysis of future drought characteristics in China using the regional climate model CCLM	CLIMATE DYNAMICS																Fischer, Thomas/G-1906-2010	Fischer, Thomas/0000-0002-3067-8619												0930-7575	1432-0894				JAN	2018	50	1-2					507	525		10.1007/s00382-017-3623-z							WOS:000422908700032						
J	Hartley, K				Hartley, Kris			Environmental resilience and intergovernmental collaboration in the Pearl River Delta	INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT																													0790-0627	1360-0648					2018	34	4			SI		525	546		10.1080/07900627.2017.1382334							WOS:000434334100006						
J	Zazo, S; Rodriguez-Gonzalvez, P; Molina, JL; Hernandez-Lopez, D; Gonzalez-Aguilera, D				Zazo, S.; Rodriguez-Gonzalvez, P.; Molina, J-L; Hernandez-Lopez, D.; Gonzalez-Aguilera, D.			Flood Analysis Supported by Low-cost Geometric Modelling	RIVER RESEARCH AND APPLICATIONS																Rodriguez-Gonzalvez, Pablo/H-8820-2015; Zazo, Santiago/R-6580-2019; MOLINA, JOSE-LUIS/B-5796-2013; Hernandez-Lopez, David/B-4372-2017	Rodriguez-Gonzalvez, Pablo/0000-0002-2657-813X; Zazo, Santiago/0000-0002-0265-1590; MOLINA, JOSE-LUIS/0000-0002-1001-3601; Hernandez-Lopez, David/0000-0001-9874-5243												1535-1459	1535-1467				MAY	2017	33	4					620	631		10.1002/rra.3113							WOS:000400594100015						
J	Zhai, JQ; Huang, JL; Su, BD; Cao, LG; Wang, YJ; Jiang, T; Fischer, T				Zhai, Jianqing; Huang, Jinlong; Su, Buda; Cao, Lige; Wang, Yanjun; Jiang, Tong; Fischer, Thomas			Intensity-area-duration analysis of droughts in China 1960-2013	CLIMATE DYNAMICS																Fischer, Thomas/G-1906-2010	Fischer, Thomas/0000-0002-3067-8619												0930-7575	1432-0894				JAN	2017	48	1-2					151	168		10.1007/s00382-016-3066-y							WOS:000392307300009						
J	Molina, JL; Zazo, S; Rodriguez-Gonzalvez, P; Gonzalez-Aguilera, D				Molina, Jose-Luis; Zazo, Santiago; Rodriguez-Gonzalvez, Pablo; Gonzalez-Aguilera, Diego			Innovative Analysis of Runoff Temporal Behavior through Bayesian Networks	WATER																Rodriguez-Gonzalvez, Pablo/H-8820-2015; MOLINA, JOSE-LUIS/B-5796-2013; Zazo, Santiago/R-6580-2019	Rodriguez-Gonzalvez, Pablo/0000-0002-2657-813X; MOLINA, JOSE-LUIS/0000-0002-1001-3601; Zazo, Santiago/0000-0002-0265-1590													2073-4441				NOV	2016	8	11							484	10.3390/w8110484							WOS:000389660700008						
J	Wang, XQ; Huang, GH; Liu, JL				Wang, Xiuquan; Huang, Guohe; Liu, Jinliang			Twenty-first century probabilistic projections of precipitation over Ontario, Canada through a regional climate model ensemble	CLIMATE DYNAMICS																Huang, Guohe/H-5306-2011; Huang, Guohe/AAA-7305-2019; Wang, Xiuquan/Q-9659-2018	Huang, Guohe/0000-0003-4974-3019; Wang, Xiuquan/0000-0002-3718-3416												0930-7575	1432-0894				JUN	2016	46	11-12					3979	4001		10.1007/s00382-015-2816-6							WOS:000381108600036						
