PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Li, Qiaoping; Liu, Sanyang; Chen, Yonggang					Li, Qiaoping/0000-0002-8658-6860			Combination event-triggered adaptive networked synchronization communication for nonlinear uncertain fractional-order chaotic systems								APPLIED MATHEMATICS AND COMPUTATION				333				521	535		10.1016/j.amc.2018.03.094				SEP 15 2018	2018										5	0	0	0	1	0	5			0096-3003	1873-5649		WOS:000432789500039		
J	Heydari, Mohammad Hossein; Avazzadeh, Zakieh					Heydari, Mohammad Hossein/0000-0002-2169-9485			A new Wavelet Method for Variable-Order Fractional Optimal Control Problems								ASIAN JOURNAL OF CONTROL				20	5			1804	1817		10.1002/asjc.1687				SEP 2018	2018										34	0	0	0	0	0	34			1561-8625	1934-6093		WOS:000445600400011		
J	Dabiri, A.; Moghaddam, B. P.; Tenreiro Machado, J. A.				Machado, J. A. Tenreiro/M-2173-2013; Moghaddam, Behrouz Parsa/J-1851-2018	Machado, J. A. Tenreiro/0000-0003-4274-4879; Moghaddam, Behrouz Parsa/0000-0003-4957-9028			Optimal variable-order fractional PID controllers for dynamical systems								JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS				339		SI		40	48		10.1016/j.cam.2018.02.029				SEP 2018	2018										41	0	0	0	0	0	41			0377-0427	1879-1778		WOS:000432766400004		
J	Gomez-Aguilar, J. F.				Aguilar, Jose Francisco Gomez/I-7027-2019	Aguilar, Jose Francisco Gomez/0000-0001-9403-3767			Chaos in a nonlinear Bloch system with Atangana-Baleanu fractional derivatives								NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS				34	5	SI		1716	1738		10.1002/num.22219				SEP 2018	2018										21	0	0	0	0	0	21			0749-159X	1098-2426		WOS:000448859600015		
J	Heydari, M. H.; Avazzadeh, Z.					Heydari, Mohammad Hossein/0000-0002-2169-9485			An operational matrix method for solving variable-order fractional biharmonic equation								COMPUTATIONAL & APPLIED MATHEMATICS				37	4			4397	4411		10.1007/s40314-018-0580-z				SEP 2018	2018										28	0	0	0	0	0	28			0101-8205	1807-0302		WOS:000443034900021		
J	Keshi, Farzad Khane; Moghaddam, Behrouz Parsa; Aghili, Arman				Moghaddam, Behrouz Parsa/J-1851-2018	Moghaddam, Behrouz Parsa/0000-0003-4957-9028			A numerical approach for solving a class of variable-order fractional functional integral equations								COMPUTATIONAL & APPLIED MATHEMATICS				37	4			4821	4834		10.1007/s40314-018-0604-8				SEP 2018	2018										20	0	0	0	0	0	20			2238-3603	1807-0302		WOS:000443034900047		
J	He, Bin-Bin; Zhou, Hua-Cheng; Chen, YangQuan; Kou, Chun-Hai				Chen, YangQuan/A-2301-2008; Zhou, Hua-Cheng/F-3437-2014	Chen, YangQuan/0000-0002-7422-5988; Zhou, Hua-Cheng/0000-0001-6856-2358			Asymptotical stability of fractional order systems with time delay via an integral inequality								IET CONTROL THEORY AND APPLICATIONS				12	12			1748	1754		10.1049/iet-cta.2017.1144				AUG 14 2018	2018										23	0	0	0	0	0	23			1751-8644	1751-8652		WOS:000441020700009		
J	Straka, Peter								Variable order fractional Fokker-Planck equations derived from Continuous Time Random Walks								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				503				451	463		10.1016/j.physa.2018.03.010				AUG 1 2018	2018										6	0	0	0	0	0	6			0378-4371	1873-2119		WOS:000452093900039		
J	Xu, Wenxiang; Sun, Hongguang; Chen, Wen; Chen, Huisu				Chen, Huisu/G-5494-2010; 许, Wenxiang/N-7588-2017	Chen, Huisu/0000-0003-1997-5476; 许, Wenxiang/0000-0002-5269-1654			Transport properties of concrete-like granular materials interacted by their microstructures and particle components								INTERNATIONAL JOURNAL OF MODERN PHYSICS B				32	18	SI				1840011	10.1142/S0217979218400118				JUL 20 2018	2018										25	0	0	0	0	0	25			0217-9792	1793-6578		WOS:000438915000011		
J	Chang, Ailian; Sun, HongGuang; Zheng, Chunmiao; Lu, Bingqing; Lu, Chengpeng; Ma, Rui; Zhang, Yong				Zheng, Chunmiao/I-5257-2014	Zheng, Chunmiao/0000-0001-5839-1305			A time fractional convection-diffusion equation to model gas transport through heterogeneous soil and gas reservoirs								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				502				356	369		10.1016/j.physa.2018.02.080				JUL 15 2018	2018										10	0	0	0	0	0	10			0378-4371	1873-2119		WOS:000432513200030		
