PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Obembe, Abiola D.; Hossain, M. Enamul; Abu-Khamsin, Sidqi A.					Obembe, Abiola/0000-0003-1865-1082; Abu-Khamsin, Sidqi/0000-0001-7047-025X			Variable-order derivative time fractional diffusion model for heterogeneous porous media								JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING				152				391	405		10.1016/j.petrol.2017.03.015				APR 2017	2017										20	1	0	0	0	0	21			0920-4105	1873-4715		WOS:000401042000032		
J	Bhrawy, A. H.; Zaky, M. A.				Zaky, Mahmoud A./B-2797-2015	Zaky, Mahmoud A./0000-0002-3376-7238			Highly accurate numerical schemes for multi-dimensional space variable-order fractional Schrodinger equations								COMPUTERS & MATHEMATICS WITH APPLICATIONS				73	6			1100	1117		10.1016/j.camwa.2016.11.019				MAR 15 2017	2017										62	0	0	0	0	0	62			0898-1221	1873-7668		WOS:000398875300020		
J	Cai, Wei; Chen, Wen; Xu, Wenxiang				Heisenberg, X/K-9096-2015; 许, Wenxiang/N-7588-2017	许, Wenxiang/0000-0002-5269-1654			Fractional modeling of Pasternak-type viscoelastic foundation								MECHANICS OF TIME-DEPENDENT MATERIALS				21	1			119	131		10.1007/s11043-016-9321-0				FEB 2017	2017										13	1	0	0	0	0	14			1385-2000	1573-2738		WOS:000397012500007		
J	Sun, Yifei; Indraratna, Buddhima; Carter, John P.; Marchant, Timothy; Nimbalkar, Sanjay				Nimbalkar, Sanjay/M-7878-2013; Sun, Yifei/AAE-2293-2019; Sun, Yifei/O-3092-2018; Indraratna, Buddhima/E-3856-2014	Nimbalkar, Sanjay/0000-0002-1538-3396; Sun, Yifei/0000-0001-8135-1467; Sun, Yifei/0000-0001-8135-1467; Indraratna, Buddhima/0000-0002-9057-1514			Application of fractional calculus in modelling ballast deformation under cyclic loading								COMPUTERS AND GEOTECHNICS				82				16	30		10.1016/j.compgeo.2016.09.010				FEB 2017	2017										23	5	0	0	0	0	25			0266-352X	1873-7633		WOS:000392675900002		
J	Li, Xiuying; Wu, Boying								A new reproducing kernel method for variable order fractional boundary value problems for functional differential equations								JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS				311				387	393		10.1016/j.cam.2016.08.010				FEB 2017	2017										42	1	0	0	1	0	41			0377-0427	1879-1778		WOS:000386403000030		
J	Gao, Shilong; Zhang, Li; Liu, Hui; Kan, Bixia								Random-order fractional bistable system and its stochastic resonance								EUROPEAN PHYSICAL JOURNAL PLUS				132	1					2	10.1140/epjp/i2017-11273-7				JAN 12 2017	2017										3	0	0	0	0	0	3			2190-5444			WOS:000403619300002		
J	Moghaddam, B. P.; Machado, J. A. T.				Moghaddam, Behrouz Parsa/J-1851-2018; Machado, J. A. Tenreiro/M-2173-2013	Moghaddam, Behrouz Parsa/0000-0003-4957-9028; Machado, J. A. Tenreiro/0000-0003-4274-4879			SM-Algorithms for Approximating the Variable-Order Fractional Derivative of High Order								FUNDAMENTA INFORMATICAE				151	1-4			293	311		10.3233/FI-2017-1493				2017	2017										23	0	0	0	0	0	23			0169-2968	1875-8681		WOS:000398583500018		
J	Zhang, Xinguang; Liu, Lishan; Wu, Yonghong; Cui, Yujun				Liu, Lishan/I-3450-2013; Cui, Yujun/F-1978-2018; Wu, Yong Hong/D-4327-2013	Liu, Lishan/0000-0001-8541-1017; Cui, Yujun/0000-0002-6688-4748; Wu, Yong Hong/0000-0003-1028-1785			New Result on the Critical Exponent for Solution of an Ordinary Fractional Differential Problem								JOURNAL OF FUNCTION SPACES				2017						3976469	10.1155/2017/3976469				2017	2017										30	0	0	0	1	0	30			2314-8896	2314-8888		WOS:000413053500001		
J	Abd-Elkawy, Mohamed A.; Alqahtani, Rubayyi T.								Space-Time Spectral Collocation Algorithm for the Variable-Order Galilei Invariant Advection Diffusion Equations with a Nonlinear Source Term								MATHEMATICAL MODELLING AND ANALYSIS				22	1			1	20		10.3846/13926292.2017.1258014				JAN 2017	2017										6	0	0	0	0	0	6			1392-6292	1648-3510		WOS:000393085600001		
J	Almeida, Ricardo				Almeida, Ricardo/Y-6214-2018	Almeida, Ricardo/0000-0002-1305-2411			Caputo-Hadamard Fractional Derivatives of Variable Order								NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION				38	1			1	19		10.1080/01630563.2016.1217880				2017	2017										13	0	0	0	0	0	13			0163-0563	1532-2467		WOS:000392408900001		
J	Bakhti, Hamzah; Azrar, Lahcen; Baleanu, Dumitru				Baleanu, Dumitru/B-9936-2012; Bakhti, Hamzah/R-2875-2018; Azrar, Lahcen/J-1988-2016	Baleanu, Dumitru/0000-0002-0286-7244; Bakhti, Hamzah/0000-0002-8612-907X; Azrar, Lahcen/0000-0002-0493-9029			PULSATILE BLOOD FLOW IN CONSTRICTED TAPERED ARTERY USING A VARIABLE-ORDER FRACTIONAL OLDROYD-B MODEL								THERMAL SCIENCE				21	1			29	40		10.2298/TSCI160421237B				2017	2017										6	0	0	0	0	0	6			0354-9836	2334-7163		WOS:000396378300005		
J	Yang, Xu; Chen, Wen; Xiao, Rui; Ling, Leevan				Xiao, Rui/J-5131-2013; Heisenberg, X/K-9096-2015; Xiao, Rui/M-7742-2019; Ling, Leevan/A-4484-2009	Xiao, Rui/0000-0002-4380-9542; Ling, Leevan/0000-0003-1779-0101			A FRACTIONAL MODEL FOR TIME-VARIANT NON-NEWTONIAN FLOW								THERMAL SCIENCE				21	1			61	68		10.2298/TSCI160426245Y				2017	2017										8	1	0	0	0	0	9			0354-9836	2334-7163		WOS:000396378300008		
S	Tabatabaei, S. Sepehr; Talebi, Heidar Ali; Tavakoli, Mahdi			IEEE	Talebi, Heidar Ali/T-9621-2019	Talebi, Heidar Ali/0000-0001-6038-2109; Tavakoli, Mahdi/0000-0002-7427-6961			Non-integer Variable Order Dynamic Modeling and Identification of Soft Tissue Deformation								2017 AMERICAN CONTROL CONFERENCE (ACC)		Proceedings of the American Control Conference						819	824						2017	2017						American Control Conference (ACC)American Control Conference (ACC)	MAY 24-26, 2017MAY 24-26, 2017	GE Global Res; Mitsubishi Elect Res Labs; Eaton; United Technologies Res Ctr; MathWorks; Amer Automat Control CouncilGE Global Res; Mitsubishi Elect Res Labs; Eaton; United Technologies Res Ctr; MathWorks; Amer Automat Control Council	Seattle, WASeattle, WA	0	0	0	0	0	0	0			0743-1619	2378-5861	978-1-5090-5992-8	WOS:000427033300132		
J	Zhao, Yang; Zhou, Fengyu; Wang, Da; Li, Yan								Design and Analysis of Fractional Order PD alpha-Type Iterative Learning Control								IFAC PAPERSONLINE				50	1			8077	8083		10.1016/j.ifacol.2017.08.1237				2017	2017						20th World Congress of the International-Federation-of-Automatic-Control (IFAC)20th World Congress of the International-Federation-of-Automatic-Control (IFAC)	JUL 09-14, 2017JUL 09-14, 2017	Int Federat Automat Control; Continental Automot; Occitanie Reg; Toulouse Metropole; CNES; Univ Toulouse III; Paul Sabatier; Inria; CNRS; OPTITRACK; MDPI; ISAE Supaero; iCODE; EECI; Int Journal Automat & Comp; IEEE CAA Journal Automatica Sinica; MoveoInt Federat Automat Control; Continental Automot; Occitanie Reg; Toulouse Metropole; CNES; Univ Toulouse III; Paul Sabatier; Inria; CNRS; OPTITRACK; MDPI; ISAE Supaero; iCODE; EECI; Int Journal Automat & Comp; IEEE CAA Journal Automatica Sinica; Moveo	Toulouse, FRANCEToulouse, FRANCE	1	1	0	0	0	0	2			2405-8963			WOS:000423964900337		
S	Dadras, Sara; Dadras, Soodeh; Malek, Hadi; Chen, YangQuan			ASME					A NOTE ON THE LYAPUNOV STABILITY OF FRACTIONAL-ORDER NONLINEAR SYSTEMS								PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, 2017, VOL 9		Proceedings of the ASME Design Engineering Technical Conferences								UNSP V009T07A033					2017	2017						ASME International Design Engineering Technical Conferences / Computers and Information in Engineering Conference (IDETC/CIE 2017)ASME International Design Engineering Technical Conferences / Computers and Information in Engineering Conference (IDETC/CIE 2017)	AUG 06-09, 2017AUG 06-09, 2017	ASME, Design Engn Div; ASME, Comp & Informat Engn DivASME, Design Engn Div; ASME, Comp & Informat Engn Div	Cleveland, OHCleveland, OH	12	0	0	0	2	0	12			2159-7383		978-0-7918-5823-3	WOS:000423244700033		
S	He, Bin-Bin; Chen, YangQuan; Kou, Chun-Hai			ASME					ON THE CONTROLLABILITY OF DISTRIBUTED-ORDER FRACTIONAL SYSTEMS WITH DISTRIBUTED DELAYS								PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, 2017, VOL 9		Proceedings of the ASME Design Engineering Technical Conferences								UNSP V009T07A030					2017	2017						ASME International Design Engineering Technical Conferences / Computers and Information in Engineering Conference (IDETC/CIE 2017)ASME International Design Engineering Technical Conferences / Computers and Information in Engineering Conference (IDETC/CIE 2017)	AUG 06-09, 2017AUG 06-09, 2017	ASME, Design Engn Div; ASME, Comp & Informat Engn DivASME, Design Engn Div; ASME, Comp & Informat Engn Div	Cleveland, OHCleveland, OH	0	0	0	0	0	0	0			2159-7383		978-0-7918-5823-3	WOS:000423244700030		
J	Du, Ruilian; Liang, Zongqi								Two New Approximations for Variable-Order Fractional Derivatives								DISCRETE DYNAMICS IN NATURE AND SOCIETY										1586249	10.1155/2017/1586249				2017	2017										0	0	0	0	0	0	0			1026-0226	1607-887X		WOS:000407294900001		
J	Heydari, M. H.; Hooshmandasl, M. R.; Cattani, C.; Hariharan, G.				Cattani, Carlo/I-5051-2013; g, hariharan/V-8720-2018	Cattani, Carlo/0000-0002-7504-0424; seelan, Sathiya/0000-0003-0597-2450; Heydari, Mohammad Hossein/0000-0002-2169-9485; g, hariharan/0000-0002-2397-3281			An Optimization Wavelet Method for Multi Variable-order Fractional Differential Equations								FUNDAMENTA INFORMATICAE				151	1-4			255	273		10.3233/FI-2017-1491				2017	2017										12	0	0	0	0	1	13			0169-2968	1875-8681		WOS:000398583500016		
J	Gomez-Aguilar, J. F.				Aguilar, Jose Francisco Gomez/I-7027-2019	Aguilar, Jose Francisco Gomez/0000-0001-9403-3767			Space-time fractional diffusion equation using a derivative with nonsingular and regular kernel								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				465				562	572		10.1016/j.physa.2016.08.072				JAN 1 2017	2017										41	0	0	0	0	0	41			0378-4371	1873-2119		WOS:000386411700054		
J	Korbel, Jan; Luchko, Yuri				Korbel, Jan/I-3518-2019	Korbel, Jan/0000-0002-5371-5320			MODELING OF FINANCIAL PROCESSES WITH A SPACE-TIME FRACTIONAL DIFFUSION EQUATION OF VARYING ORDER								FRACTIONAL CALCULUS AND APPLIED ANALYSIS				19	6			1414	1433		10.1515/fca-2016-0073				DEC 2016	2016										27	0	1	0	0	0	27			1311-0454	1314-2224		WOS:000394574400007		
J	Matychyn, Ivan				Matychyn, Ivan/U-8485-2017	Matychyn, Ivan/0000-0003-3808-5882			AN IDENTITY INVOLVING INTEGRATION WITH RESPECT TO VARIABLE ORDER OF FRACTIONAL DERIVATIVE								FRACTIONAL CALCULUS AND APPLIED ANALYSIS				19	6			1460	1465		10.1515/fca-2016-0075				DEC 2016	2016										1	0	0		0	0	1			1311-0454	1314-2224		WOS:000394574400009		
J	Zhang, Li; Yu, Chenglong; Liu, Tao					Yu, Chenglong/0000-0002-0546-2779			Control of finite-time anti-synchronization for variable-order fractional chaotic systems with unknown parameters								NONLINEAR DYNAMICS				86	3			1967	1980		10.1007/s11071-016-3008-6				NOV 2016	2016										7	0	0	0	0	0	7			0924-090X	1573-269X		WOS:000386679400039		
J	Moghaddam, B. Parsa; Yaghoobi, Sh.; Tenreiro Machado, J. A.				Machado, J. A. Tenreiro/M-2173-2013; Moghaddam, Behrouz Parsa/J-1851-2018	Machado, J. A. Tenreiro/0000-0003-4274-4879; Moghaddam, Behrouz Parsa/0000-0003-4957-9028			An Extended Predictor-Corrector Algorithm for Variable-Order Fractional Delay Differential Equations								JOURNAL OF COMPUTATIONAL AND NONLINEAR DYNAMICS				11	6					061001	10.1115/1.4032574				NOV 2016	2016										53	1	0	0	2	0	54			1555-1423	1555-1415		WOS:000394148900004		
J	Cao, Jianxiong; Qiu, Yanan				Cao, Jianxiong/E-7700-2017	Cao, Jianxiong/0000-0002-6438-5515			A high order numerical scheme for variable order fractional ordinary differential equation								APPLIED MATHEMATICS LETTERS				61				88	94		10.1016/j.aml.2016.05.012				NOV 2016	2016										16	0	0	0	0	0	16			0893-9659			WOS:000380623000014		
J	Ma, Junhai; Ren, Wenbo								Complexity and Hopf Bifurcation Analysis on a Kind of Fractional-Order IS-LM Macroeconomic System								INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS				26	11					1650181	10.1142/S0218127416501819				OCT 2016	2016										15	1	0	0	1	0	15			0218-1274	1793-6551		WOS:000387330700008		
J	Xu Wen-Xiang; Sun Hong-Guang; Chen Wen; Chen Hui-Su				Chen, Huisu/G-5494-2010; 许, Wenxiang/N-7588-2017; Heisenberg, X/K-9096-2015	Chen, Huisu/0000-0003-1997-5476; 许, Wenxiang/0000-0002-5269-1654; 			A review of correlative modeling for transport properties, microstructures, and compositions of granular materials in soft matter								ACTA PHYSICA SINICA				65	17					178101	10.7498/aps.65.178101				SEP 5 2016	2016										2	1	0	0	0	0	3			1000-3290			WOS:000385289000018		
J	Yan, Bin; Zhang, Yi								Noether's theorem for fractional Birkhoffian systems of variable order								ACTA MECHANICA				227	9			2439	2449		10.1007/s00707-016-1622-5				SEP 2016	2016										21	8	0	0	1	0	27			0001-5970	1619-6937		WOS:000382026000003		
J	Bhrawy, A. H.; Doha, E. H.; Alzaidy, J. F.; Abdelkawy, M. A.				Doha, Eid H./L-1723-2019	Doha, Eid H./0000-0002-7781-6871			A space-time spectral collocation algorithm for the variable order fractional wave equation								SPRINGERPLUS				5						1220	10.1186/s40064-016-2899-5				AUG 2 2016	2016										2	0	0	0	0	0	2			2193-1801			WOS:000381639900001	27536504	
J	Bhrawy, A. H.; Zaky, M. A.				Zaky, Mahmoud A./B-2797-2015	Zaky, Mahmoud A./0000-0002-3376-7238			Numerical algorithm for the variable-order Caputo fractional functional differential equation								NONLINEAR DYNAMICS				85	3			1815	1823		10.1007/s11071-016-2797-y				AUG 2016	2016										57	1	0	0	0	0	58			0924-090X	1573-269X		WOS:000379529600032		
J	Zhang, Hui; Jiang, Xiaoyun; Fan, Wenping								Parameter estimation for the fractional Schrodinger equation using Bayesian method								JOURNAL OF MATHEMATICAL PHYSICS				57	8					082104	10.1063/1.4960724				AUG 2016	2016										4	0	0	0	1	0	4			0022-2488	1089-7658		WOS:000383917300026		
J	Ma, Heping; Yang, Yubo								Jacobi Spectral Collocation Method for the Time Variable-Order Fractional Mobile-Immobile Advection-Dispersion Solute Transport Model								EAST ASIAN JOURNAL ON APPLIED MATHEMATICS				6	3			337	352		10.4208/eajam.141115.060616a				AUG 2016	2016										10	1	0	0	0	0	10			2079-7362	2079-7370		WOS:000381255100006		
J	Yin, Chun; Cheng, Yuhua; Zhong, Shou-Ming; Bai, Zhanbing					Bai, Zhanbing/0000-0002-5131-9252			Fractional-order switching type control law design for adaptive sliding mode technique of 3D fractional-order nonlinear systems								COMPLEXITY				21	6			363	373		10.1002/cplx.21696				JUL-AUG 2016	2016										34	1	0	0	2	0	35			1076-2787	1099-0526		WOS:000379936300033		
J	Tavares, Dina; Almeida, Ricardo; Torres, Delfim F. M.				Torres, Delfim F. M./A-7682-2008; Almeida, Ricardo/Y-6214-2018	Torres, Delfim F. M./0000-0001-8641-2505; Almeida, Ricardo/0000-0002-1305-2411; Tavares, Dina/0000-0002-4938-0855			Caputo derivatives of fractional variable order: Numerical approximations								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				35				69	87		10.1016/j.cnsns.2015.10.027				JUN 2016	2016										47	3	0	0	0	0	49			1007-5704	1878-7274		WOS:000366838000006		
J	Chen, Yi-Ming; Wei, Yan-Qiao; Liu, Da-Yan; Boutat, Driss; Chen, Xiu-Kai				Liu, Da-Yan/A-2294-2017	Liu, Da-Yan/0000-0003-2853-0129; Wei, Yanqiao/0000-0001-7620-3988; Driss, Boutat/0000-0001-6026-5674			Variable-order fractional numerical differentiation for noisy signals by wavelet denoising								JOURNAL OF COMPUTATIONAL PHYSICS				311				338	347		10.1016/j.jcp.2016.02.013				APR 15 2016	2016										15	1	0	0	1	0	16			0021-9991	1090-2716		WOS:000370386300017		
J	Gomez-Aguilar, J. F.; Lopez-Lopez, M. G.; Alvarado-Martinez, V. M.; Reyes-Reyes, J.; Adam-Medina, M.				adam medina, manuel/O-6951-2017; Aguilar, Jose Francisco Gomez/I-7027-2019; Lopez, Ma. Guadalupe Lopez/N-1486-2017; Martinez, Victor Alvarado/B-6286-2009	adam medina, manuel/0000-0002-8106-3673; Aguilar, Jose Francisco Gomez/0000-0001-9403-3767; Lopez, Ma. Guadalupe Lopez/0000-0003-3831-5174; Martinez, Victor Alvarado/0000-0003-1769-9607; Reyes-Reyes, Juan/0000-0001-7415-9987			Modeling diffusive transport with a fractional derivative without singular kernel								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				447				467	481		10.1016/j.physa.2015.12.066				APR 1 2016	2016										64	0	0	0	2	0	64			0378-4371	1873-2119		WOS:000370094000042		
J	Chen, Wen; Hu, Shuai; Cai, Wei				Heisenberg, X/K-9096-2015				A causal fractional derivative model for acoustic wave propagation in lossy media								ARCHIVE OF APPLIED MECHANICS				86	3			529	539		10.1007/s00419-015-1043-2				MAR 2016	2016										8	1	0	0	0	0	9			0939-1533	1432-0681		WOS:000371240200009		
J	Sweilam, Nasser H.; AL-Mekhlafi, Seham M.				Sweilam, Nasser H./Q-2175-2019	Sweilam, Nasser/0000-0001-7428-5799			Numerical study for multi-strain tuberculosis (TB) model of variable-order fractional derivatives								JOURNAL OF ADVANCED RESEARCH				7	2			271	283		10.1016/j.jare.2015.06.004				MAR 2016	2016										21	0	0	0	2	0	21			2090-1232	2090-1224		WOS:000372716400010	26966568	
J	Liu, Zhenhai; Zeng, Shengda; Bai, Yunru								MAXIMUM PRINCIPLES FOR MULTI-TERM SPACE-TIME VARIABLE-ORDER FRACTIONAL DIFFUSION EQUATIONS AND THEIR APPLICATIONS								FRACTIONAL CALCULUS AND APPLIED ANALYSIS				19	1			188	211		10.1515/fca-2016-0011				FEB 2016	2016										40	1	0	0	0	0	39			1311-0454	1314-2224		WOS:000374669100011		
J	Alkahtani, Badr Saad T.; Koca, Ilknur; Atangana, Abdon								A novel approach of variable order derivative: Theory and Methods								JOURNAL OF NONLINEAR SCIENCES AND APPLICATIONS				9	6			4867	4876						2016	2016										18	0	0	0	0	1	18			2008-1898	2008-1901		WOS:000386871300122		
J	Liu, Jianping; Li, Xia; Wu, Limeng								An Operational Matrix Technique for Solving Variable Order Fractional Differential-Integral Equation Based on the Second Kind of Chebyshev Polynomials								ADVANCES IN MATHEMATICAL PHYSICS				2016						6345978	10.1155/2016/6345978				2016	2016										10	1	0	0	0	0	10			1687-9120	1687-9139		WOS:000378744000001		
J	Liu, Jianping; Li, Xia; Wu, Limeng								An Operational Matrix of Fractional Differentiation of the Second Kind of Chebyshev Polynomial for Solving Multiterm Variable Order Fractional Differential Equation								MATHEMATICAL PROBLEMS IN ENGINEERING				2016						7126080	10.1155/2016/7126080				2016	2016										4	0	0	0	1	0	4			1024-123X	1563-5147		WOS:000377882500001		
J	Alkahtani, Badr Saad T.; Atangana, Abdon								Modeling the potential energy field caused by mass density distribution with Eton approach								OPEN PHYSICS				14	1			106	113		10.1515/phys-2016-0008				JAN 2016	2016										13	1	0	0	0	0	13			2391-5471			WOS:000377068000013		
J	Jiang, Wei; Guo, Beibei								A NEW NUMERICAL METHOD FOR SOLVING TWO-DIMENSIONAL VARIABLE-ORDER ANOMALOUS SUB-DIFFUSION EQUATION								THERMAL SCIENCE				20				S701	S710		10.2298/TSCI16S3701J			3	2016	2016										1	0	0	0	0	0	1			0354-9836	2334-7163		WOS:000383732100011		
B	Li, Yan; Chen, YangQuan			ASME					QUANTITATIVE ANALYSIS OF SINGULARITIES FOR FRACTIONAL ORDER SYSTEMS								INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, 2015, VOL 9															2016	2016						ASME International Design Engineering Technical Conferences and Computers and Information in Engineering ConferenceASME International Design Engineering Technical Conferences and Computers and Information in Engineering Conference	AUG 02-05, 2015AUG 02-05, 2015	ASME, Design Engn Div; ASME, Comp & Informat Engn DivASME, Design Engn Div; ASME, Comp & Informat Engn Div	Boston, MABoston, MA	0	0	0	0	0	0	0					978-0-7918-5719-9	WOS:000380413900035		
J	Meng, Ruifan; Yin, Deshun; Zhou, Chao; Wu, Hao								Fractional description of time-dependent mechanical property evolution in materials with strain softening behavior								APPLIED MATHEMATICAL MODELLING				40	1			398	406		10.1016/j.apm.2015.04.055				JAN 1 2016	2016										26	1	0	0	0	0	26			0307-904X	1872-8480		WOS:000367020900028		
J	Zhao, Xuan; Zhang, Zhimin				Zhao, Xuan/M-7221-2016				SUPERCONVERGENCE POINTS OF FRACTIONAL SPECTRAL INTERPOLATION								SIAM JOURNAL ON SCIENTIFIC COMPUTING				38	1			A598	A613		10.1137/15M1011172				2016	2016										16	2	0	0	0	0	18			1064-8275	1095-7197		WOS:000371235600025		
J	Wu, Guo-Cheng; Baleanu, Dumitru; Xie, He-Ping; Zeng, Sheng-Da				Wu, Guo-Cheng/T-9088-2017	Wu, Guo-Cheng/0000-0002-1946-6770; Xie, Heping/0000-0002-1686-7827			Discrete Fractional Diffusion Equation of Chaotic Order								INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS				26	1					1650013	10.1142/S0218127416500139				JAN 2016	2016										10	0	0	0	0	0	10			0218-1274	1793-6551		WOS:000371126000015		
J	Gomez-Aguilar, J. F.; Escobar-Jimemez, R. F.; Olivares-Peregrino, V. H.; Benavides-Cruz, M.; Calderon-Ramon, C.				Escobar-Jimenez, Ricardo/X-1721-2019; Aguilar, Jose Francisco Gomez/I-7027-2019	Escobar-Jimenez, Ricardo/0000-0003-3367-6552; Aguilar, Jose Francisco Gomez/0000-0001-9403-3767; CALDERON, CELIA/0000-0002-5394-422X; Olivares-Peregrino, Victor Hugo/0000-0002-5214-4984			Nonlocal electrical diffusion equation								INTERNATIONAL JOURNAL OF MODERN PHYSICS C				27	1					1650007	10.1142/S0129183116500078				JAN 2016	2016										9	0	0	0	0	0	9			0129-1831	1793-6586		WOS:000371112100007		
J	Gomez-Aguilar, J. F.; Miranda-Hernandez, M.; Lopez-Lopez, M. G.; Alvarado-Martinez, V. M.; Baleanu, D.				Martinez, Victor Alvarado/B-6286-2009; Lopez, Ma. Guadalupe Lopez/N-1486-2017; Aguilar, Jose Francisco Gomez/I-7027-2019	Martinez, Victor Alvarado/0000-0003-1769-9607; Lopez, Ma. Guadalupe Lopez/0000-0003-3831-5174; Aguilar, Jose Francisco Gomez/0000-0001-9403-3767; Miranda Hernandez, Margarita/0000-0002-6769-4102			Modeling and simulation of the fractional space-time diffusion equation								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				30	1-3			115	127		10.1016/j.cnsns.2015.06.014				JAN 2016	2016										50	0	0	0	2	1	50			1007-5704	1878-7274		WOS:000359496800010		
J	Wu, Guo-Cheng; Baleanu, Dumitru; Zeng, Sheng-Da; Luo, Wei-Hua				Wu, Guo-Cheng/T-9088-2017	Wu, Guo-Cheng/0000-0002-1946-6770			Mittag-Leffler function for discrete fractional modelling								JOURNAL OF KING SAUD UNIVERSITY SCIENCE				28	1	SI		99	102		10.1016/j.jksus.2015.06.004				JAN 2016	2016										11	0	0	0	0	0	11			1018-3647	2213-686X		WOS:000456299000019		
J	Dehghan, Mehdi; Safarpoor, Mansour; Abbaszadeh, Mostafa					Dehghan, Mehdi/0000-0002-2573-9755; Abbaszadeh, Mostafa/0000-0001-6954-3896			Two high-order numerical algorithms for solving the multi-term time fractional diffusion-wave equations								JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS				290				174	195		10.1016/j.cam.2015.04.037				DEC 15 2015	2015										68	2	0	0	0	0	69			0377-0427	1879-1778		WOS:000359167100014		
J	Sun, Yifei; Xiao, Yang; Hanif, Khairul Fikry				Sun, Yifei/O-3092-2018; Sun, Yifei/AAE-2293-2019	Sun, Yifei/0000-0001-8135-1467; Sun, Yifei/0000-0001-8135-1467; Xiao, Yang/0000-0002-9411-4660			FRACTIONAL ORDER MODELLING OF THE CUMULATIVE DEFORMATION OF GRANULAR SOILS UNDER CYCLIC LOADING								ACTA MECHANICA SOLIDA SINICA				28	6			647	658		10.1016/S0894-9166(16)30006-4				DEC 2015	2015										8	2	0	0	0	0	8			0894-9166	1860-2134		WOS:000367820400005		
J	Yin, Chun; Cheng, Yuhua; Chen, YangQuan; Stark, Brandon; Zhong, Shouming				Chen, YangQuan/A-2301-2008	Chen, YangQuan/0000-0002-7422-5988			Adaptive fractional-order switching-type control method design for 3D fractional-order nonlinear systems								NONLINEAR DYNAMICS				82	1-2			39	52		10.1007/s11071-015-2136-8				OCT 2015	2015										110	1	0	0	2	0	110			0924-090X	1573-269X		WOS:000362578100004		
J	Kashani, Mohammad M.; Lowes, Laura N.; Crewe, Adam J.; Alexander, Nicholas A.				Alexander, Nicholas A/O-3870-2019; Kashani, Mohammad/AAK-8420-2020; Lowes, Laura/AAM-8664-2020; Alexander, Nicholas A/N-1841-2014; Kashani, Mohammad Mehdi/G-5157-2016	Alexander, Nicholas A/0000-0002-6837-5330; Alexander, Nicholas A/0000-0002-6837-5330; Kashani, Mohammad Mehdi/0000-0003-0008-0007; Crewe, Adam/0000-0002-0661-6346			Phenomenological hysteretic model for corroded reinforcing bars including inelastic buckling and low-cycle fatigue degradation								COMPUTERS & STRUCTURES				156				58	71		10.1016/j.compstruc.2015.04.005				AUG 2015	2015										50	0	0	0	0	0	50			0045-7949	1879-2243		WOS:000357144300005		
J	Fu, Zhuo-Jia; Chen, Wen; Ling, Leevan				Heisenberg, X/K-9096-2015; Ling, Leevan/A-4484-2009	Ling, Leevan/0000-0003-1779-0101; Fu, Zhuojia/0000-0002-3231-1597			Method of approximate particular solutions for constant- and variable-order fractional diffusion models								ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS				57				37	46		10.1016/j.enganabound.2014.09.003				AUG 2015	2015										70	2	0	0	1	0	70			0955-7997	1873-197X		WOS:000356551100006		
J	Chen, Yi-Ming; Wei, Yan-Qiao; Liu, Da-Yan; Yu, Hao				Liu, Da-Yan/A-2294-2017	Liu, Da-Yan/0000-0003-2853-0129; Wei, Yanqiao/0000-0001-7620-3988			Numerical solution for a class of nonlinear variable order fractional differential equations with Legendre wavelets								APPLIED MATHEMATICS LETTERS				46				83	88		10.1016/j.aml.2015.02.010				AUG 2015	2015										31	1	0	0	0	0	32			0893-9659			WOS:000353074200014		
